[83002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[84002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[85002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[86002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[87002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[88002 ms] Avg: 22.16 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[89002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[90002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[91002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[92002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[93002 ms] Avg: 22.17 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[94002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[95002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[96002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
